USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225884  9664 ?        Ss   Aug01   0:21 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    Aug01   0:00 [kthreadd]
root         4  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/0:0H]
root         6  0.0  0.0      0     0 ?        I<   Aug01   0:00 [mm_percpu_wq]
root         7  0.0  0.0      0     0 ?        S    Aug01   0:00 [ksoftirqd/0]
root         8  0.0  0.0      0     0 ?        I    Aug01   0:43 [rcu_sched]
root         9  0.0  0.0      0     0 ?        I    Aug01   0:00 [rcu_bh]
root        10  0.0  0.0      0     0 ?        S    Aug01   0:00 [migration/0]
root        11  0.0  0.0      0     0 ?        S    Aug01   0:00 [watchdog/0]
root        12  0.0  0.0      0     0 ?        S    Aug01   0:00 [cpuhp/0]
root        13  0.0  0.0      0     0 ?        S    Aug01   0:00 [cpuhp/1]
root        14  0.0  0.0      0     0 ?        S    Aug01   0:00 [watchdog/1]
root        15  0.0  0.0      0     0 ?        S    Aug01   0:03 [migration/1]
root        16  0.0  0.0      0     0 ?        S    Aug01   0:00 [ksoftirqd/1]
root        18  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/1:0H]
root        19  0.0  0.0      0     0 ?        S    Aug01   0:00 [cpuhp/2]
root        20  0.0  0.0      0     0 ?        S    Aug01   0:00 [watchdog/2]
root        21  0.0  0.0      0     0 ?        S    Aug01   0:03 [migration/2]
root        22  0.0  0.0      0     0 ?        S    Aug01   0:00 [ksoftirqd/2]
root        24  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/2:0H]
root        25  0.0  0.0      0     0 ?        S    Aug01   0:00 [cpuhp/3]
root        26  0.0  0.0      0     0 ?        S    Aug01   0:00 [watchdog/3]
root        27  0.0  0.0      0     0 ?        S    Aug01   0:03 [migration/3]
root        28  0.0  0.0      0     0 ?        S    Aug01   0:00 [ksoftirqd/3]
root        30  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/3:0H]
root        31  0.0  0.0      0     0 ?        S    Aug01   0:00 [kdevtmpfs]
root        32  0.0  0.0      0     0 ?        I<   Aug01   0:00 [netns]
root        33  0.0  0.0      0     0 ?        S    Aug01   0:00 [rcu_tasks_kthre]
root        34  0.0  0.0      0     0 ?        S    Aug01   0:00 [kauditd]
root        36  0.0  0.0      0     0 ?        S    Aug01   0:01 [khungtaskd]
root        37  0.0  0.0      0     0 ?        S    Aug01   0:00 [oom_reaper]
root        38  0.0  0.0      0     0 ?        I<   Aug01   0:00 [writeback]
root        39  0.0  0.0      0     0 ?        S    Aug01   0:00 [kcompactd0]
root        40  0.0  0.0      0     0 ?        SN   Aug01   0:00 [ksmd]
root        41  0.0  0.0      0     0 ?        SN   Aug01   0:01 [khugepaged]
root        42  0.0  0.0      0     0 ?        I<   Aug01   0:00 [crypto]
root        43  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kintegrityd]
root        44  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kblockd]
root        45  0.0  0.0      0     0 ?        I<   Aug01   0:00 [ata_sff]
root        46  0.0  0.0      0     0 ?        I<   Aug01   0:00 [md]
root        47  0.0  0.0      0     0 ?        I<   Aug01   0:00 [edac-poller]
